ID,prefLabel,WikiData_URI,Start_Date,End_Date,Type,Suggested_dating,has_Broader,ARS_Group_ID,ARS_Group_2_ID,ARS_Import_Horizon_ID,ARS_Import_Horizon_2_ID
hayes-form-104,Hayes form 104,Q109547595,500,625,large dish/bowl,,,ARSD,,,
hayes-form-104a,Hayes form 104a,,500,580,large dish/bowl,c. 530-580,hayes-form-104,ARSD,,,
hayes-form-104b,Hayes form 104b,,570,600,large dish/bowl,c. 570-600,hayes-form-104,ARSD,,,
hayes-form-104c,Hayes form 104c,,550,625,large dish/bowl,c. 550-625,hayes-form-104,ARSD,,,
hayes-form-105,Hayes form 105,,580,675,Large plate,c. 580/600-660 +,,ARSD,,,
hayes-form-106,Hayes form 106,,600,675,Large plate,c. 600-660 +,,ARSD,,,
hayes-form-107,Hayes form 107,,580,675,Large bowl,c. 600-650,,ARSD,,,
hayes-form-108,Hayes form 108,,600,630,Small bowl ,early seventh century,,ARSD,,,
hayes-form-109,Hayes form 109,,580,675,Dish ,c.580/600-mid seventh century,,ARSD,,,
hayes-form-110,Hayes form 110,,,,Deep bowl(?) ,,,ARSD,,,
hayes-form-111,Hayes form 111,,,,Large serving-dish , late sixth century or the first half of the seventh century ,,,,,
hayes-form-112,Hayes form 112,,,,,,,,,,
hayes-form-113,Hayes form 113,,,,,,,,,,
hayes-form-114,Hayes form 114,,,,,,,,,,
hayes-form-115,Hayes form 115,,,,,,,,,,
hayes-form-116,Hayes form 116,,,,,,,,,,
hayes-form-117,Hayes form 117,,,,,,,,,,
hayes-form-118,Hayes form 118,,,,,,,,,,
hayes-form-119,Hayes form 119,,,,,,,,,,
hayes-form-120,Hayes form 120,,,,,,,,,,
hayes-form-121,Hayes form 121,,,,Feeder-vase with strainer,,,,,,
hayes-form-122,Hayes form 122,,,,Feeder-vase ,,,,,,
hayes-form-122a,Hayes form 122a,,,,Feeder-vase ,,hayes-form-122,,,,
hayes-form-122b,Hayes form 122b,,,,Feeder-vase ,,hayes-form-122,,,,
hayes-form-123,Hayes form 123,,,,Askos,early second-early third century; mainly mid-late second century,,ARSA,,,
hayes-form-124,Hayes form 124,,,,Inkwell,,,,,,
hayes-form-125,Hayes form 125,,,,Cruet, uncertain; probably second century,,ARSA,,,
hayes-form-126,Hayes form 126,,,,Spouted jug,uncertain; probably second century,,ARSA,,,
hayes-form-127,Hayes form 127,,,,Wine-dipper(?), first half of third century,,,,,
hayes-form-128,Hayes form 128,,,,,,,,,,
hayes-form-129,Hayes form 129,,,,,,,,,,
hayes-form-130,Hayes form 130,,,,,,,,,,
hayes-form-131,Hayes form 131,,,,Mugs ,,,ARSA,,,
hayes-form-132,Hayes form 132,,,,Mugs ,,,ARSA,,,
hayes-form-133,Hayes form 133,,,,Mugs ,,,,,,
hayes-form-134,Hayes form 134,,,,Mugs ,,,,,,
hayes-form-135,Hayes form 135,,,,Mugs ,,,ARSA,,,
hayes-form-136,Hayes form 136,,,,Mugs ,,,,,,
hayes-form-137,Hayes form 137,,,,Mugs ,end of first century to mid second century or later,,,,,
hayes-form-138,Hayes form 138,,,,Mugs ,"second century, or perhaps slightly later",,,,,
hayes-form-139,Hayes form 139,,,,Mugs ,,,,,,
hayes-form-140,Hayes form 140,,,,Mugs ,,,,,,
hayes-form-140a,Hayes form 140a,,,,Mugs ,mid second century or earlier,hayes-form-140,,,,
hayes-form-140b,Hayes form 140b,,,,Mugs ,late second to early third century,hayes-form-140,,,,
hayes-form-141,Hayes form 141,,,,,,,,,,
hayes-form-142,Hayes form 142,,,,Indented bowl,uncertain but probably early (late first century?),,,,,
hayes-form-143,Hayes form 143,,,,Beaker with stamped decoration,,,,,,
hayes-form-144,Hayes form 144,,,,Two-handled beaker,,,,,,
